1,AUS,1,-,1
1,AUT,3,-,3
1,BUL,1,-,1
1,DEN,3,-,3
1,FRA,12,-,12
1,GBR,10,-,10
1,GER,19,-,19
1,GRE,102,-,102
1,HUN,7,-,7
1,ITA,1,-,1
1,SUI,2,-,2
1,SWE,1,-,1
1,USA,14,-,14
2,ARG,1,-,1
2,AUS,1,-,1
2,AUT,15,-,15
2,BEL,67,-,67
2,BOH,6,1,7
2,CUB,1,-,1
2,DEN,13,-,13
2,ESP,9,-,9
2,FRA,742,15,757
2,GBR,95,1,96
2,GER,76,-,76
2,GRE,2,-,2
2,HAI,2,-,2
2,HUN,19,-,19
2,IND,1,-,1
2,IRI,1,-,1
2,ITA,22,1,23
2,MEX,3,-,3
2,NED,34,-,34
2,NOR,7,-,7
2,PER,1,-,1
2,ROU,1,-,1
2,RUS,4,-,4
2,SUI,17,2,19
2,SWE,10,-,10
2,UNK,1,-,1
2,USA,66,4,70
3,AUS,1,-,1
3,CAN,54,-,54
3,CUB,3,-,3
3,GBR,4,-,4
3,GER,18,-,18
3,GRE,14,-,14
3,HUN,4,-,4
3,ITA,1,-,1
3,RSA,8,-,8
3,USA,537,6,543
4,AUS,4,-,4
4,AUT,31,-,31
4,BEL,17,-,17
4,BOH,13,-,13
4,CAN,3,-,3
4,CRT,8,-,8
4,DEN,49,-,49
4,EGY,2,-,2
4,FIN,4,-,4
4,FRA,53,1,54
4,GBR,40,-,40
4,GER,49,-,49
4,GRE,318,5,323
4,HUN,35,-,35
4,ITA,76,-,76
4,NED,16,-,16
4,NOR,32,-,32
4,SUI,9,-,9
4,SWE,39,-,39
4,TUR,1,-,1
4,USA,38,-,38
6,ANZ,23,2,25
6,AUT,79,6,85
6,BEL,34,1,35
6,BOH,43,-,43
6,CAN,37,-,37
6,CHI,14,-,14
6,DEN,151,1,152
6,FIN,162,2,164
6,FRA,119,1,120
6,GBR,263,-,263
6,GER,180,5,185
6,GRE,22,-,22
6,HUN,119,-,119
6,ISL,2,-,2
6,ITA,66,-,66
6,JPN,2,-,2
6,LUX,21,-,21
6,NED,33,-,33
6,NOR,188,2,190
6,POL,1,-,1
6,POR,6,-,6
6,RSA,21,-,21
6,RUS,159,-,159
6,SRB,2,-,2
6,SUI,8,-,8
6,SWE,422,23,445
6,TUR,2,-,2
6,UNK,2,-,2
6,USA,174,-,174
7,ARG,1,-,1
7,AUS,12,1,13
7,BEL,328,10,338
7,BRA,19,-,19
7,CAN,55,-,55
7,CHI,2,-,2
7,DEN,150,4,154
7,EGY,18,-,18
7,ESP,58,-,58
7,EST,14,-,14
7,FIN,62,1,63
7,FRA,291,8,299
7,GBR,219,16,235
7,GRE,47,-,47
7,IND,5,-,5
7,ITA,173,1,174
7,JPN,15,-,15
7,LUX,25,-,25
7,MON,4,-,4
7,NED,129,1,130
7,NOR,188,6,194
7,NZL,3,1,4
7,POR,13,-,13
7,RSA,38,1,39
7,SUI,79,-,79
7,SWE,247,13,260
7,TCH,118,1,119
7,USA,274,14,288
7,YUG,15,-,15
8,ARG,77,-,77
8,AUS,35,1,36
8,AUT,46,3,49
8,BEL,166,7,173
8,BRA,12,-,12
8,BUL,24,-,24
8,CAN,65,-,65
8,CHI,13,-,13
8,CUB,9,-,9
8,DEN,77,12,89
8,ECU,3,-,3
8,EGY,24,-,24
8,ESP,93,2,95
8,EST,37,-,37
8,FIN,121,-,121
8,FRA,368,32,400
8,GBR,239,28,267
8,GRE,38,1,39
8,HAI,8,-,8
8,HUN,86,3,89
8,IND,12,1,13
8,IRL,46,2,48
8,ITA,196,4,200
8,JPN,19,-,19
8,LAT,36,-,36
8,LTU,13,-,13
8,LUX,46,2,48
8,MEX,15,-,15
8,MON,7,-,7
8,NED,169,9,178
8,NOR,60,2,62
8,NZL,3,1,4
8,PHI,1,-,1
8,POL,64,1,65
8,POR,28,-,28
8,ROU,35,-,35
8,RSA,30,-,30
8,RUS,2,1,3
8,SUI,136,5,141
8,SWE,146,13,159
8,TCH,129,4,133
8,TUR,22,-,22
8,URU,26,-,26
8,USA,275,24,299
8,YUG,42,-,42
9,ARG,81,-,81
9,AUS,14,4,18
9,AUT,67,6,73
9,BEL,175,12,187
9,BUL,5,-,5
9,CAN,61,7,68
9,CHI,38,-,38
9,CUB,1,-,1
9,DEN,82,9,91
9,EGY,32,-,32
9,ESP,80,-,80
9,EST,20,-,20
9,FIN,67,2,69
9,FRA,257,37,294
9,GBR,201,31,232
9,GER,263,35,298
9,GRE,23,-,23
9,HAI,2,-,2
9,HUN,93,16,109
9,IND,21,-,21
9,IRL,33,5,38
9,ITA,156,18,174
9,JPN,39,1,40
9,LAT,15,2,17
9,LTU,11,1,12
9,LUX,46,2,48
9,MEX,30,-,30
9,MLT,9,-,9
9,MON,10,-,10
9,NED,222,44,266
9,NOR,52,-,52
9,NZL,6,3,9
9,PAN,1,-,1
9,PHI,4,-,4
9,POL,88,12,100
9,POR,32,-,32
9,ROU,19,2,21
9,RSA,18,6,24
9,SUI,132,1,133
9,SWE,87,13,100
9,TCH,68,1,69
9,TUR,31,-,31
9,URU,17,-,17
9,USA,237,44,281
9,YUG,34,-,34
9,ZIM,2,-,2
10,ARG,33,-,33
10,AUS,8,4,12
10,AUT,16,2,18
10,BEL,29,7,36
10,BRA,58,1,59
10,BUL,2,-,2
10,CAN,85,17,102
10,CHN,1,-,1
10,COL,2,-,2
10,CUB,3,-,3
10,DEN,35,8,43
10,ESA,1,-,1
10,ESP,7,-,7
10,EST,2,-,2
10,FIN,40,-,40
10,FRA,97,6,103
10,GBR,92,17,109
10,GER,137,9,146
10,GRE,10,-,10
10,GUA,-,1,1
10,HAI,3,-,3
10,HUN,56,2,58
10,IND,19,-,19
10,IRL,14,2,16
10,ITA,112,-,112
10,JPN,140,17,157
10,LAT,5,-,5
10,LUX,3,-,3
10,MEX,71,2,73
10,MON,1,-,1
10,NED,29,15,44
10,NOR,6,1,7
10,NZL,20,1,21
10,PER,2,-,2
10,PHI,8,-,8
10,POL,42,9,51
10,POR,6,-,6
10,ROU,1,-,1
10,RSA,10,2,12
10,SUI,7,-,7
10,SWE,78,3,81
10,TCH,28,-,28
10,TUR,1,-,1
10,URU,2,-,2
10,USA,400,74,474
10,VEN,1,-,1
10,YUG,1,-,1
11,AFG,15,-,15
11,ARG,50,1,51
11,AUS,28,4,32
11,AUT,217,17,234
11,BEL,145,5,150
11,BER,5,-,5
11,BOL,2,-,2
11,BRA,67,6,73
11,BUL,26,-,26
11,CAN,79,18,97
11,CHI,39,1,40
11,CHN,52,2,54
11,COL,5,-,5
11,CRC,1,-,1
11,DEN,105,16,121
11,EGY,53,-,53
11,EST,33,-,33
11,FIN,103,5,108
11,FRA,190,11,201
11,GBR,171,37,208
11,GER,389,44,433
11,GRE,40,1,41
11,HUN,197,19,216
11,IND,27,-,27
11,ISL,12,-,12
11,ITA,228,16,244
11,JPN,204,16,220
11,LAT,29,-,29
11,LIE,6,-,6
11,LUX,48,1,49
11,MEX,32,-,32
11,MLT,11,-,11
11,MON,8,-,8
11,NED,144,21,165
11,NOR,68,2,70
11,NZL,7,-,7
11,PER,40,-,40
11,PHI,28,-,28
11,POL,127,17,144
11,POR,19,-,19
11,ROU,52,2,54
11,RSA,26,6,32
11,SUI,184,6,190
11,SWE,163,8,171
11,TCH,175,14,189
11,TUR,46,2,48
11,URU,37,-,37
11,USA,313,46,359
11,YUG,78,15,93
12,AFG,25,-,25
12,ARG,189,11,200
12,AUS,66,9,75
12,AUT,117,32,149
12,BEL,132,19,151
12,BER,10,2,12
12,BRA,59,11,70
12,CAN,105,22,127
12,CHI,50,4,54
12,CHN,30,1,31
12,COL,6,-,6
12,CUB,53,-,53
12,DEN,144,18,162
12,EGY,86,-,86
12,ESP,65,-,65
12,FIN,126,6,132
12,FRA,279,37,316
12,GBR,337,70,407
12,GRE,60,1,61
12,GUY,4,-,4
12,HUN,107,21,128
12,IND,79,-,79
12,IRI,36,-,36
12,IRL,76,5,81
12,IRQ,11,-,11
12,ISL,18,3,21
12,ITA,194,21,215
12,JAM,9,4,13
12,KOR,45,1,46
12,LBN,8,-,8
12,LIE,2,-,2
12,LUX,42,3,45
12,MEX,81,7,88
12,MLT,1,-,1
12,MON,4,-,4
12,MYA,4,-,4
12,NED,115,34,149
12,NOR,77,4,81
12,NZL,6,1,7
12,PAK,35,-,35
12,PAN,1,-,1
12,PER,41,-,41
12,PHI,26,-,26
12,POL,31,7,38
12,POR,48,-,48
12,PUR,9,-,9
12,RSA,34,1,35
12,SGP,1,-,1
12,SRI,7,-,7
12,SUI,178,9,187
12,SWE,162,19,181
12,SYR,1,-,1
12,TCH,76,14,90
12,TTO,5,-,5
12,TUR,57,1,58
12,URU,60,1,61
12,USA,262,38,300
12,VEN,1,-,1
12,YUG,79,11,90
13,AHO,11,-,11
13,ARG,115,8,123
13,AUS,71,10,81
13,AUT,91,21,112
13,BAH,7,-,7
13,BEL,130,5,135
13,BER,4,2,6
13,BRA,92,5,97
13,BUL,54,9,63
13,CAN,97,10,107
13,CHI,55,4,59
13,CHN,1,-,1
13,CUB,29,-,29
13,DEN,115,14,129
13,EGY,106,-,106
13,ESP,27,-,27
13,FIN,228,30,258
13,FRA,214,31,245
13,GBR,213,44,257
13,GER,173,32,205
13,GHA,7,-,7
13,GRE,48,-,48
13,GUA,20,1,21
13,GUY,1,-,1
13,HKG,2,2,4
13,HUN,162,27,189
13,INA,3,-,3
13,IND,60,4,64
13,IRI,22,-,22
13,IRL,19,-,19
13,ISL,9,-,9
13,ISR,22,3,25
13,ITA,208,23,231
13,JAM,6,2,8
13,JPN,58,11,69
13,KOR,18,1,19
13,LBN,9,-,9
13,LIE,2,-,2
13,LUX,44,-,44
13,MEX,61,3,64
13,MON,8,-,8
13,MYA,5,-,5
13,NED,78,26,104
13,NGR,9,-,9
13,NOR,96,6,102
13,NZL,12,2,14
13,PAK,38,-,38
13,PAN,1,-,1
13,PHI,25,-,25
13,POL,103,22,125
13,POR,68,3,71
13,PUR,21,-,21
13,ROU,103,11,114
13,RSA,60,4,64
13,SAA,31,5,36
13,SGP,4,1,5
13,SRI,5,-,5
13,SUI,148,9,157
13,SWE,183,23,206
13,TCH,86,13,99
13,THA,8,-,8
13,TTO,2,-,2
13,TUR,51,-,51
13,URS,255,40,295
13,URU,31,1,32
13,USA,245,41,286
13,VEN,36,2,38
13,VNM,8,-,8
13,YUG,77,10,87
14,AFG,12,-,12
14,ARG,27,1,28
14,AUS,250,44,294
14,AUT,24,5,29
14,BAH,4,-,4
14,BEL,51,3,54
14,BER,3,-,3
14,BRA,43,1,44
14,BUL,40,3,43
14,CAN,77,15,92
14,CHI,31,2,33
14,COL,26,-,26
14,CUB,15,1,16
14,DEN,27,4,31
14,ETH,12,-,12
14,FIJ,5,-,5
14,FIN,63,1,64
14,FRA,119,18,137
14,GBR,163,26,189
14,GER,134,24,158
14,GRE,13,-,13
14,GUY,3,1,4
14,HKG,2,-,2
14,HUN,88,20,108
14,INA,20,2,22
14,IND,58,1,59
14,IRI,17,-,17
14,IRL,11,1,12
14,ISL,2,-,2
14,ISR,2,1,3
14,ITA,114,15,129
14,JAM,6,-,6
14,JPN,94,16,110
14,KEN,24,1,25
14,KOR,35,-,35
14,LBR,4,-,4
14,LUX,10,1,11
14,MAL,32,1,33
14,MEX,21,3,24
14,MYA,11,-,11
14,NBO,2,-,2
14,NGR,10,-,10
14,NOR,18,-,18
14,NZL,43,8,51
14,PAK,55,-,55
14,PER,8,-,8
14,PHI,35,4,39
14,POL,49,15,64
14,POR,5,-,5
14,PUR,10,-,10
14,ROU,33,11,44
14,RSA,44,6,50
14,SGP,47,2,49
14,SRI,3,-,3
14,SWE,74,14,88
14,TCH,51,12,63
14,THA,35,-,35
14,TPE,20,-,20
14,TTO,6,-,6
14,TUR,13,-,13
14,UGA,3,-,3
14,URS,233,39,272
14,URU,21,-,21
14,USA,251,46,297
14,VEN,19,-,19
14,VNM,6,-,6
14,YUG,32,3,35
15,AFG,12,-,12
15,AHO,5,-,5
15,ARG,91,1,92
15,AUS,160,29,189
15,AUT,82,21,103
15,BAH,13,-,13
15,BEL,93,8,101
15,BER,9,-,9
15,BRA,70,1,71
15,BUL,89,9,98
15,CAN,74,11,85
15,CHI,8,1,9
15,COL,16,-,16
15,CUB,9,3,12
15,DEN,88,12,100
15,ESP,133,11,144
15,ETH,10,-,10
15,FIJ,2,-,2
15,FIN,107,10,117
15,FRA,210,28,238
15,GBR,206,47,253
15,GER,239,55,294
15,GHA,13,-,13
15,GRE,48,-,48
15,GUY,4,1,5
15,HAI,1,-,1
15,HKG,4,-,4
15,HUN,153,27,180
15,INA,20,2,22
15,IND,45,-,45
15,IRI,23,-,23
15,IRL,47,2,49
15,IRQ,21,-,21
15,ISL,8,1,9
15,ISR,17,6,23
15,ITA,246,34,280
15,JPN,142,20,162
15,KEN,27,-,27
15,KOR,33,2,35
15,LBN,19,-,19
15,LBR,4,-,4
15,LIE,5,-,5
15,LUX,47,5,52
15,MAL,9,-,9
15,MAR,47,-,47
15,MEX,63,6,69
15,MLT,10,-,10
15,MON,11,-,11
15,MYA,10,-,10
15,NED,80,30,110
15,NGR,12,-,12
15,NOR,39,1,40
15,NZL,33,4,37
15,PAK,44,-,44
15,PAN,2,4,6
15,PER,31,-,31
15,PHI,36,4,40
15,POL,156,29,185
15,POR,60,5,65
15,PUR,26,1,27
15,RHO,7,5,12
15,ROU,82,16,98
15,RSA,53,2,55
15,SGP,5,-,5
15,SMR,9,-,9
15,SRI,5,-,5
15,SUD,10,-,10
15,SUI,147,2,149
15,SWE,115,19,134
15,TCH,99,17,116
15,THA,20,-,20
15,TPE,24,3,27
15,TUN,42,-,42
15,TUR,46,3,49
15,UAR,74,-,74
15,UGA,10,-,10
15,URS,233,50,283
15,URU,34,-,34
15,USA,241,51,292
15,VEN,31,5,36
15,VNM,3,-,3
15,WIF,13,-,13
15,YUG,107,9,116
15,ZIM,2,-,2
16,AFG,8,-,8
16,AHO,4,-,4
16,ALG,1,-,1
16,ARG,96,6,102
16,AUS,203,40,243
16,AUT,45,11,56
16,BAH,11,-,11
16,BEL,60,1,61
16,BER,4,-,4
16,BOL,1,-,1
16,BRA,60,1,61
16,BUL,56,7,63
16,CAM,13,-,13
16,CAN,95,20,115
16,CGO,2,-,2
16,CHA,2,-,2
16,CHI,14,-,14
16,CIV,9,-,9
16,CMR,1,-,1
16,COL,20,-,20
16,CRC,2,-,2
16,CUB,25,2,27
16,DEN,53,7,60
16,DOM,1,-,1
16,EGY,73,-,73
16,ESP,48,3,51
16,ETH,12,-,12
16,FIN,84,5,89
16,FRA,118,20,138
16,GBR,160,44,204
16,GER,275,62,337
16,GHA,30,3,33
16,GRE,18,-,18
16,GUY,1,-,1
16,HKG,38,1,39
16,HUN,150,32,182
16,IND,52,1,53
16,IRI,58,4,62
16,IRL,24,1,25
16,IRQ,13,-,13
16,ISL,3,1,4
16,ISR,8,2,10
16,ITA,157,11,168
16,JAM,17,4,21
16,JPN,270,58,328
16,KEN,37,-,37
16,KOR,128,26,154
16,LBN,5,-,5
16,LBR,1,-,1
16,LIE,2,-,2
16,LUX,10,2,12
16,MAD,3,-,3
16,MAR,20,-,20
16,MAS,57,4,61
16,MEX,90,4,94
16,MGL,17,4,21
16,MLI,2,-,2
16,MON,1,-,1
16,MYA,11,-,11
16,NED,105,20,125
16,NEP,6,-,6
16,NGR,16,2,18
16,NIG,1,-,1
16,NOR,24,2,26
16,NZL,56,8,64
16,PAK,41,-,41
16,PAN,6,4,10
16,PER,30,1,31
16,PHI,40,7,47
16,POL,115,25,140
16,POR,19,1,20
16,PUR,30,2,32
16,ROU,108,30,138
16,SEN,12,-,12
16,SRI,6,-,6
16,SUI,65,1,66
16,SWE,76,18,94
16,TAN,4,-,4
16,TCH,95,9,104
16,THA,47,7,54
16,TPE,37,3,40
16,TTO,13,-,13
16,TUN,9,-,9
16,TUR,23,-,23
16,UGA,11,2,13
16,URS,254,63,317
16,URU,23,-,23
16,USA,267,79,346
16,VEN,15,1,16
16,VNM,16,-,16
16,YUG,72,3,75
16,ZAM,11,1,12
16,ZIM,25,4,29
17,AFG,5,-,5
17,AHO,3,2,5
17,ALG,3,-,3
17,ARG,84,5,89
17,AUS,104,24,128
17,AUT,35,8,43
17,BAH,16,-,16
17,BAR,9,-,9
17,BEL,77,5,82
17,BER,6,-,6
17,BIZ,7,-,7
17,BOL,4,-,4
17,BRA,73,3,76
17,BUL,102,10,112
17,CAF,1,-,1
17,CAN,111,28,139
17,CHA,3,-,3
17,CHI,19,2,21
17,CIV,10,-,10
17,CMR,5,-,5
17,COD,5,-,5
17,COL,38,5,43
17,CRC,17,1,18
17,CUB,101,14,115
17,DEN,60,4,64
17,DOM,18,-,18
17,ECU,14,1,15
17,EGY,30,-,30
17,ESA,52,8,60
17,ESP,120,2,122
17,ETH,18,-,18
17,FIJ,1,-,1
17,FIN,60,6,66
17,FRA,169,31,200
17,FRG,232,43,275
17,GBR,175,50,225
17,GDR,186,40,226
17,GHA,30,1,31
17,GRE,44,-,44
17,GUA,47,1,48
17,GUI,15,-,15
17,GUY,5,-,5
17,HKG,11,-,11
17,HON,6,-,6
17,HUN,135,32,167
17,INA,6,-,6
17,IND,25,-,25
17,IRI,14,-,14
17,IRL,25,6,31
17,IRQ,3,-,3
17,ISL,6,2,8
17,ISR,26,3,29
17,ISV,6,-,6
17,ITA,152,15,167
17,JAM,20,5,25
17,JPN,146,25,171
17,KEN,36,3,39
17,KOR,41,13,54
17,KUW,2,-,2
17,LBA,1,-,1
17,LBN,11,-,11
17,LIE,2,-,2
17,LUX,3,2,5
17,MAD,4,-,4
17,MAR,25,-,25
17,MAS,31,-,31
17,MEX,233,42,275
17,MGL,12,4,16
17,MLI,2,-,2
17,MLT,1,-,1
17,MON,2,-,2
17,MYA,4,-,4
17,NCA,11,-,11
17,NED,82,25,107
17,NGR,31,5,36
17,NIG,2,-,2
17,NOR,38,8,46
17,NZL,47,5,52
17,PAK,15,-,15
17,PAN,16,-,16
17,PAR,1,-,1
17,PER,16,12,28
17,PHI,45,4,49
17,POL,140,37,177
17,POR,19,1,20
17,PUR,54,4,58
17,ROU,66,16,82
17,SEN,21,-,21
17,SGP,4,-,4
17,SLE,3,-,3
17,SMR,4,-,4
17,SRI,3,-,3
17,SUD,5,-,5
17,SUI,81,4,85
17,SUR,1,-,1
17,SWE,86,14,100
17,SYR,2,-,2
17,TAN,4,-,4
17,TCH,94,27,121
17,THA,41,-,41
17,TPE,35,8,43
17,TTO,19,-,19
17,TUN,7,-,7
17,TUR,29,-,29
17,UGA,11,-,11
17,URS,246,66,312
17,URU,21,6,27
17,USA,274,83,357
17,VEN,23,-,23
17,VNM,7,2,9
17,YUG,59,10,69
17,ZAM,7,-,7
18,AFG,8,-,8
18,AHO,2,-,2
18,ALB,4,1,5
18,ALG,5,-,5
18,ARG,88,4,92
18,AUS,139,29,168
18,AUT,97,14,111
18,BAH,19,1,20
18,BAR,8,5,13
18,BEL,82,6,88
18,BEN,3,-,3
18,BER,9,-,9
18,BIZ,1,-,1
18,BOL,11,-,11
18,BRA,78,3,81
18,BUL,106,24,130
18,BUR,1,-,1
18,CAM,8,1,9
18,CAN,158,50,208
18,CGO,6,-,6
18,CHA,4,-,4
18,CHI,9,2,11
18,CIV,11,-,11
18,CMR,11,-,11
18,COL,55,4,59
18,CRC,3,-,3
18,CUB,109,28,137
18,DEN,114,12,126
18,DOM,5,-,5
18,ECU,2,-,2
18,EGY,23,-,23
18,ESA,11,-,11
18,ESP,118,5,123
18,ETH,31,-,31
18,FIJ,2,-,2
18,FIN,89,7,96
18,FRA,197,30,227
18,FRG,341,83,424
18,GAB,1,-,1
18,GBR,210,74,284
18,GDR,231,66,297
18,GHA,33,2,35
18,GRE,58,2,60
18,GUA,8,-,8
18,GUY,3,-,3
18,HAI,6,1,7
18,HKG,10,-,10
18,HUN,187,45,232
18,INA,3,3,6
18,IND,40,1,41
18,IRI,48,-,48
18,IRL,51,8,59
18,ISL,24,1,25
18,ISR,12,2,14
18,ISV,16,-,16
18,ITA,197,27,224
18,JAM,21,12,33
18,JPN,148,36,184
18,KEN,55,2,57
18,KOR,32,10,42
18,KSA,10,-,10
18,KUW,4,-,4
18,LBN,17,2,19
18,LBR,5,-,5
18,LES,1,-,1
18,LIE,6,-,6
18,LUX,10,1,11
18,MAD,11,-,11
18,MAR,33,2,35
18,MAS,42,3,45
18,MAW,13,3,16
18,MEX,152,22,174
18,MGL,37,2,39
18,MLI,3,-,3
18,MLT,5,-,5
18,MON,5,-,5
18,MYA,18,-,18
18,NCA,7,1,8
18,NED,90,29,119
18,NEP,2,-,2
18,NGR,20,5,25
18,NIG,4,-,4
18,NOR,101,11,112
18,NZL,82,7,89
18,PAK,25,-,25
18,PAN,7,-,7
18,PAR,3,-,3
18,PER,17,3,20
18,PHI,48,5,53
18,POL,252,38,290
18,POR,29,-,29
18,PRK,23,14,37
18,PUR,53,-,53
18,ROU,132,27,159
18,SEN,38,-,38
18,SGP,5,2,7
18,SMR,7,-,7
18,SOM,3,-,3
18,SRI,4,-,4
18,SUD,26,-,26
18,SUI,122,29,151
18,SUR,2,-,2
18,SWE,104,27,131
18,SWZ,2,-,2
18,SYR,4,1,5
18,TAN,15,-,15
18,TCH,145,36,181
18,THA,33,-,33
18,TOG,7,-,7
18,TPE,15,6,21
18,TTO,18,1,19
18,TUN,35,-,35
18,TUR,42,1,43
18,UGA,31,2,33
18,URS,298,73,371
18,URU,10,3,13
18,USA,316,84,400
18,VEN,20,3,23
18,VNM,1,1,2
18,YUG,113,13,126
18,ZAM,8,3,11
19,AHO,4,-,4
19,AND,3,-,3
19,ANT,10,-,10
19,ARG,65,4,69
19,AUS,146,34,180
19,AUT,54,6,60
19,BAH,10,1,11
19,BAR,9,2,11
19,BEL,75,26,101
19,BER,15,1,16
19,BIZ,4,-,4
19,BOL,4,-,4
19,BRA,72,7,79
19,BUL,105,53,158
19,CAN,261,124,385
19,CAY,2,-,2
19,CHI,7,-,7
19,CIV,7,1,8
19,CMR,4,-,4
19,COL,32,3,35
19,CRC,4,1,5
19,CUB,132,24,156
19,DEN,56,10,66
19,DOM,9,1,10
19,ECU,5,-,5
19,EGY,26,-,26
19,ESP,103,10,113
19,FIJ,1,1,2
19,FIN,77,6,83
19,FRA,177,29,206
19,FRG,233,57,290
19,GBR,176,66,242
19,GDR,154,113,267
19,GRE,34,2,36
19,GUA,26,2,28
19,HAI,10,3,13
19,HKG,23,2,25
19,HON,3,-,3
19,HUN,124,54,178
19,INA,5,2,7
19,IND,26,-,26
19,IRI,80,4,84
19,IRL,41,3,44
19,ISL,9,4,13
19,ISR,24,2,26
19,ISV,19,2,21
19,ITA,183,27,210
19,JAM,11,9,20
19,JPN,153,60,213
19,KOR,38,12,50
19,KSA,14,-,14
19,KUW,15,-,15
19,LBN,3,-,3
19,LIE,4,2,6
19,LUX,8,-,8
19,MAR,9,-,9
19,MAS,23,-,23
19,MEX,92,5,97
19,MGL,30,2,32
19,MON,8,-,8
19,NCA,15,-,15
19,NED,72,36,108
19,NEP,1,-,1
19,NOR,60,6,66
19,NZL,71,9,80
19,PAK,24,-,24
19,PAN,7,1,8
19,PAR,4,-,4
19,PER,-,13,13
